date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:36:12	33369/33369	---M--	200	added ('OK')	image/png	etag:%228259-5e9113cd71e00%22	http://www.seoulmusicfestival.co.kr/img/s1_bg01.png	C:/My%20Web%20Sites/seoulmusicfestival/www.seoulmusicfestival.co.kr/img/s1_bg01.png	(from http://www.seoulmusicfestival.co.kr/css/m.css)
11:36:14	22481/22481	---M--	200	added ('OK')	image/png	etag:%2257d1-5e7e3ff472b80%22	http://www.seoulmusicfestival.co.kr/img/sub/out/out_img01.png	C:/My%20Web%20Sites/seoulmusicfestival/www.seoulmusicfestival.co.kr/img/sub/out/out_img01.png	(from http://www.seoulmusicfestival.co.kr/css/sb.css)
11:36:21	67536/67536	---M--	200	added ('OK')	image/png	etag:%22107d0-5e94ee1d35e40%22	http://www.seoulmusicfestival.co.kr/img/sub/sche/schedule_img02.png	C:/My%20Web%20Sites/seoulmusicfestival/www.seoulmusicfestival.co.kr/img/sub/sche/schedule_img02.png	(from http://www.seoulmusicfestival.co.kr/css/sb.css)
11:36:24	128172/128172	---M--	200	added ('OK')	image/png	etag:%221f4ac-5e99dc424f014%22	http://www.seoulmusicfestival.co.kr/img/s1_bg03.png	C:/My%20Web%20Sites/seoulmusicfestival/www.seoulmusicfestival.co.kr/img/s1_bg03.png	(from http://www.seoulmusicfestival.co.kr/css/m.css)
11:36:24	125268/125268	---M--	200	added ('OK')	font/woff2	etag:W/%221e954-TTdav0PtGKpUJkwbWXFLClnFk6Q%22	https://cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicon.woff2?t=1590207869815	C:/My%20Web%20Sites/seoulmusicfestival/cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicondf6d.woff2	(from https://cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicon.css)
11:36:24	403228/403228	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226271c-POiqk/26zwHcfv1DP/14PLgVAIE%22	https://cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicon.eot?t=1590207869815	C:/My%20Web%20Sites/seoulmusicfestival/cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicondf6d.eot	(from https://cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicon.css)
11:36:24	172876/172876	---M--	200	added ('OK')	font/woff	etag:W/%222a34c-nvsPvvw4gOfwtm5Y9S+FGQ/d0nk%22	https://cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicon.woff?t=1590207869815	C:/My%20Web%20Sites/seoulmusicfestival/cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicondf6d.woff	(from https://cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicon.css)
11:36:25	403056/403056	---M-Z	200	added ('OK')	font/ttf	etag:W/%2262670-hAqCFW89079bDo0oUuIyvRqS7t0%22	https://cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicon.ttf?t=1590207869815	C:/My%20Web%20Sites/seoulmusicfestival/cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicondf6d.ttf	(from https://cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicon.css)
11:36:28	1985/1985	---M--	200	added ('OK')	image/png	etag:%227c1-5e9113cd71e00%22	http://www.seoulmusicfestival.co.kr/img/firework01.png	C:/My%20Web%20Sites/seoulmusicfestival/www.seoulmusicfestival.co.kr/img/firework01.png	(from http://www.seoulmusicfestival.co.kr/kor/)
11:36:31	4889/4889	---M--	200	added ('OK')	image/png	etag:%221319-5e9113cd71e00%22	http://www.seoulmusicfestival.co.kr/img/firework02.png	C:/My%20Web%20Sites/seoulmusicfestival/www.seoulmusicfestival.co.kr/img/firework02.png	(from http://www.seoulmusicfestival.co.kr/kor/)
